date,hoursBusy,color1,color2,color3,color4,color5,color6,color7,color8,color9,color10,color11,color12
2013-03-19,2,0,0,0,0,0,0,0,2,0,0,0,0
2013-03-21,2,0,2,0,0,0,0,0,0,0,0,0,0
2013-03-25,2,0,0,0,0,0,0,0,0,0,2,0,0
2013-03-26,2,0,0,0,0,0,0,0,0,2,0,0,0
2013-03-28,2,0,0,0,0,0,0,0,0,0,0,2,0
2013-04-08,4,4,0,0,0,0,0,0,0,0,0,0,0
2013-04-09,2,2,0,0,0,0,0,0,0,0,0,0,0
2013-04-11,2,2,0,0,0,0,0,0,0,0,0,0,0
2013-04-15,4,4,0,0,0,0,0,0,0,0,0,0,0
2013-04-16,2,2,0,0,0,0,0,0,0,0,0,0,0
2013-04-18,2,2,0,0,0,0,0,0,0,0,0,0,0
2013-04-22,2,2,0,0,0,0,0,0,0,0,0,0,0
2013-04-23,2,2,0,0,0,0,0,0,0,0,0,0,0
2013-04-25,2,2,0,0,0,0,0,0,0,0,0,0,0
2013-05-06,2,2,0,0,0,0,0,0,0,0,0,0,0
